id	filename	ocr_lines_in_part	Top1_GT_id	max_aligned_clusters_size_1	Top2_GT_id	max_aligned_clusters_size_2	Top3_GT_id	max_aligned_clusters_size_3	Top4_GT_id	max_aligned_clusters_size_4	Top5_GT_id	max_aligned_clusters_size_5
25	IE87717323_00012.xml	24	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	9	Siddur_Ashkenaz_clean_concatenated.txt	9	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	9	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	8	MT_NoVoc_concatenated.txt	4
26	IE87739615_00009.xml	28	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	7	Siddur_Ashkenaz_clean_concatenated.txt	6	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	2	MT_NoVoc_concatenated.txt	2		
27	IE87705971_00006.xml	19	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	12	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	10	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	10				
28	IE87675634_00010.xml	30	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	4	Siddur_Ashkenaz_clean_concatenated.txt	4	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	3				
29	IE87474895_00014.xml	22	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	4	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	4	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	2				
30	IE87744435_00039.xml	29	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	19	Siddur_Ashkenaz_clean_concatenated.txt	18	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	18	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	18	MT_NoVoc_concatenated.txt	14
31	IE103409244_00025.xml	28	MT_NoVoc_concatenated.txt	14								
32	IE61220167_00083.xml	19	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	5	MT_NoVoc_concatenated.txt	2						
33	IE87519524_00013.xml	23	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	10	Siddur_Ashkenaz_clean_concatenated.txt	10	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	3	MT_NoVoc_concatenated.txt	3		
34	IE87752740_00038.xml	13	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	13	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	8						
35	IE21442926_00014.xml	66	MT_NoVoc_concatenated.txt	23								
36	IE87363222_00008.xml	25	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	14	Siddur_Ashkenaz_clean_concatenated.txt	14	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	12	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	10	MT_NoVoc_concatenated.txt	10
37	IE87708411_00021.xml	22	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	22	Siddur_Ashkenaz_clean_concatenated.txt	22	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	22	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	13	MT_NoVoc_concatenated.txt	9
38	IE87447950_00015.xml	31	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	10	Siddur_Ashkenaz_clean_concatenated.txt	8	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	8	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	7	MT_NoVoc_concatenated.txt	6
39	IE87726132_00023.xml	22	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	22	Siddur_Ashkenaz_clean_concatenated.txt	12	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	12	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	12	MT_NoVoc_concatenated.txt	7
40	IE87580382_00041.xml	22	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	13	Siddur_Ashkenaz_clean_concatenated.txt	13	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	13	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	13		
41	IE87447950_00011.xml	22	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	6	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	6	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	6				
42	IE36628376_00046.xml	40	MT_NoVoc_concatenated.txt	14								
43	IE87234800_00005.xml	22	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	22	Siddur_Ashkenaz_clean_concatenated.txt	22	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	12	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	9		
44	IE87502633_00044.xml	23	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	18	Siddur_Ashkenaz_clean_concatenated.txt	17	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	17	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	17	MT_NoVoc_concatenated.txt	8
45	IE87581919_00018.xml	23	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	5	Siddur_Ashkenaz_clean_concatenated.txt	5	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	4	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	4	MT_NoVoc_concatenated.txt	3
46	IE87580382_00008.xml	30	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	5	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	5	MT_NoVoc_concatenated.txt	3				
47	IE87234800_00004.xml	22	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	8	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	8	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	8	MT_NoVoc_concatenated.txt	6		
48	IE87675634_00007.xml	26	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	3	Siddur_Ashkenaz_clean_concatenated.txt	3	MT_NoVoc_concatenated.txt	3				
49	IE87708411_00019.xml	22	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	5	Siddur_Ashkenaz_clean_concatenated.txt	4	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	2	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	2		
50	IE87694978_00020.xml	26	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	17	Siddur_Ashkenaz_clean_concatenated.txt	17						
51	IE103402206_00014.xml	19	MT_NoVoc_concatenated.txt	9								
52	IE87474895_00044.xml	27	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	27	Siddur_Ashkenaz_clean_concatenated.txt	27	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	17	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	10		
53	IE87752740_00022.xml	13	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	13	Siddur_Ashkenaz_clean_concatenated.txt	13	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	13	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	7		
54	IE87581919_00016.xml	23	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	19	Siddur_Ashkenaz_clean_concatenated.txt	19	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	19	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	19	MT_NoVoc_concatenated.txt	10
55	IE87581919_00011.xml	23	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	3	Siddur_Ashkenaz_clean_concatenated.txt	3						
56	IE87716931_00014.xml	21	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	11	Siddur_Ashkenaz_clean_concatenated.txt	10	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	5	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	2		
57	IE108110062_00015.xml	84	MT_NoVoc_concatenated.txt	3								
58	IE61220167_00084.xml	19	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	9	Siddur_Ashkenaz_clean_concatenated.txt	9	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	8	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	8		
59	IE87733114_00007.xml	27	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	6	Siddur_Ashkenaz_clean_concatenated.txt	6	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	5	MT_NoVoc_concatenated.txt	1		
