id	filename	GT_id	ocr_lines_in_part	total_aligned_lines	aligned_lines_ratio	max_aligned_clusters_size
1	IE103336373_00043.xml	MT_NoVoc_concatenated.txt	48	16	33.3	6
2	IE103336373_00043.xml	Siddur_Ashkenaz_clean_concatenated.txt	48	16	33.3	6
3	IE103336373_00043.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	48	16	33.3	6
4	IE103336373_00043.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	48	16	33.3	4
5	IE103336373_00043.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	48	16	33.3	4
6	IE103402206_00010.xml	MT_NoVoc_concatenated.txt	11	11	100.0	11
7	IE103402206_00014.xml	MT_NoVoc_concatenated.txt	19	9	47.4	9
8	IE103409244_00025.xml	MT_NoVoc_concatenated.txt	28	27	96.4	14
9	IE108110062_00015.xml	MT_NoVoc_concatenated.txt	84	6	7.1	3
10	IE21442926_00014.xml	MT_NoVoc_concatenated.txt	66	61	92.4	23
11	IE36628376_00046.xml	MT_NoVoc_concatenated.txt	40	14	35.0	14
12	IE61220167_00083.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	19	6	31.6	5
13	IE61220167_00083.xml	MT_NoVoc_concatenated.txt	19	4	21.1	2
14	IE61220167_00084.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	19	9	47.4	9
15	IE61220167_00084.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	19	12	63.2	9
16	IE61220167_00084.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	19	8	42.1	8
17	IE61220167_00084.xml	Siddur_Ashkenaz_clean_concatenated.txt	19	8	42.1	8
18	IE61220167_00097.xml	Siddur_Ashkenaz_clean_concatenated.txt	19	7	36.8	5
19	IE61220167_00097.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	19	7	36.8	5
20	IE61220167_00097.xml	MT_NoVoc_concatenated.txt	19	8	42.1	3
21	IE87234800_00003.xml	MT_NoVoc_concatenated.txt	22	3	13.6	3
22	IE87234800_00003.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	22	1	4.5	1
23	IE87234800_00004.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	22	17	77.3	8
24	IE87234800_00004.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	22	17	77.3	8
25	IE87234800_00004.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	22	16	72.7	8
26	IE87234800_00004.xml	MT_NoVoc_concatenated.txt	22	8	36.4	6
27	IE87234800_00005.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	22	22	100.0	22
28	IE87234800_00005.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	22	22	100.0	22
29	IE87234800_00005.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	22	21	95.5	12
30	IE87234800_00005.xml	Siddur_Ashkenaz_clean_concatenated.txt	22	17	77.3	9
31	IE87297122_00014.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	25	2	8.0	2
32	IE87297122_00014.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	25	2	8.0	2
33	IE87297122_00014.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	25	2	8.0	2
34	IE87297122_00014.xml	MT_NoVoc_concatenated.txt	25	2	8.0	2
35	IE87363222_00008.xml	Siddur_Ashkenaz_clean_concatenated.txt	25	14	56.0	14
36	IE87363222_00008.xml	MT_NoVoc_concatenated.txt	25	14	56.0	14
37	IE87363222_00008.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	25	12	48.0	12
38	IE87363222_00008.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	25	13	52.0	10
39	IE87363222_00008.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	25	13	52.0	10
40	IE87447950_00011.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	22	12	54.5	6
41	IE87447950_00011.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	22	10	45.5	6
42	IE87447950_00011.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	22	13	59.1	6
43	IE87447950_00015.xml	MT_NoVoc_concatenated.txt	31	13	41.9	10
44	IE87447950_00015.xml	Siddur_Ashkenaz_clean_concatenated.txt	31	10	32.3	8
45	IE87447950_00015.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	31	23	74.2	8
46	IE87447950_00015.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	31	22	71.0	7
47	IE87447950_00015.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	31	15	48.4	6
48	IE87447950_00018.xml	Siddur_Ashkenaz_clean_concatenated.txt	28	20	71.4	17
49	IE87447950_00018.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	28	20	71.4	17
50	IE87447950_00018.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	28	20	71.4	17
