filename	GT_id	ocr_lines_in_part	total_aligned_lines	aligned_lines_ratio	max_aligned_clusters_size
IE103336373_00043.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	48	16	33.3	6
IE103336373_00043.xml	Siddur_Ashkenaz_clean_concatenated.txt	48	16	33.3	6
IE103336373_00043.xml	MT_NoVoc_concatenated.txt	48	16	33.3	6
IE103336373_00043.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	48	16	33.3	4
IE103336373_00043.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	48	16	33.3	4
IE103402206_00010.xml	MT_NoVoc_concatenated.txt	11	11	100.0	11
IE103402206_00014.xml	MT_NoVoc_concatenated.txt	19	9	47.4	9
IE103409244_00025.xml	MT_NoVoc_concatenated.txt	28	27	96.4	14
IE108110062_00015.xml	MT_NoVoc_concatenated.txt	84	6	7.1	3
IE21442926_00014.xml	MT_NoVoc_concatenated.txt	66	61	92.4	23
IE36628376_00046.xml	MT_NoVoc_concatenated.txt	40	14	35.0	14
IE61220167_00083.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	19	6	31.6	5
IE61220167_00083.xml	MT_NoVoc_concatenated.txt	19	4	21.1	2
IE61220167_00084.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	19	9	47.4	9
IE61220167_00084.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	19	12	63.2	9
IE61220167_00084.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	19	8	42.1	8
IE61220167_00084.xml	Siddur_Ashkenaz_clean_concatenated.txt	19	8	42.1	8
IE61220167_00097.xml	Siddur_Ashkenaz_clean_concatenated.txt	19	7	36.8	5
IE61220167_00097.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	19	7	36.8	5
IE61220167_00097.xml	MT_NoVoc_concatenated.txt	19	8	42.1	3
IE87234800_00003.xml	MT_NoVoc_concatenated.txt	22	3	13.6	3
IE87234800_00003.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	22	1	4.5	1
IE87234800_00004.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	22	17	77.3	8
IE87234800_00004.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	22	17	77.3	8
IE87234800_00004.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	22	16	72.7	8
