id	filename	doc_pk	part_pk	title	ocr_lines_in_part	Top1_GT_id	max_aligned_clusters_size_1	Top2_GT_id	max_aligned_clusters_size_2	Top3_GT_id	max_aligned_clusters_size_3	Top4_GT_id	max_aligned_clusters_size_4	Top5_GT_id	max_aligned_clusters_size_5
23	IE87708411_00021.xml	4381	734783	Element 49	22	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	22	Siddur_Ashkenaz_clean_concatenated.txt	22	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	22	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	13	MT_NoVoc_concatenated.txt	9
24	IE87508468_00031.xml	4381	734763	Element 29	18	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	14	Siddur_Ashkenaz_clean_concatenated.txt	12	MT_NoVoc_concatenated.txt	12				
25	IE87582245_00015.xml	4381	734772	Element 38	24	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	23	Siddur_Ashkenaz_clean_concatenated.txt	23	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	23	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	23	MT_NoVoc_concatenated.txt	23
26	IE87705976_00036.xml	4381	734781	Element 47	20	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	6	Siddur_Ashkenaz_clean_concatenated.txt	6	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	6	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	5	MT_NoVoc_concatenated.txt	4
27	IE87234800_00003.xml	4381	734750	Element 16	22	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	3	MT_NoVoc_concatenated.txt	1						
28	IE103402206_00010.xml	4381	734735	Element 1	11	MT_NoVoc_concatenated.txt	11								
29	IE87719995_00046.xml	4381	734786	Element 52	30	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	8	Siddur_Ashkenaz_clean_concatenated.txt	8	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	8	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	8		
30	IE61220167_00097.xml	4381	734743	Element 9	19	Siddur_Ashkenaz_clean_concatenated.txt	5	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	5	MT_NoVoc_concatenated.txt	3				
31	IE87297122_00014.xml	4381	734753	Element 19	25	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	2	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	2	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	2	MT_NoVoc_concatenated.txt	2		
32	IE87739615_00009.xml	4381	734792	Element 58	28	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	7	Siddur_Ashkenaz_clean_concatenated.txt	6	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	2	MT_NoVoc_concatenated.txt	2		
33	IE87690674_00007.xml	4381	734776	Element 42	20	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	10	Siddur_Ashkenaz_clean_concatenated.txt	10	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	3	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	1		
34	IE87581919_00011.xml	4381	734769	Element 35	23	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	3	Siddur_Ashkenaz_clean_concatenated.txt	3						
35	IE87708411_00019.xml	4381	734782	Element 48	22	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	5	Siddur_Ashkenaz_clean_concatenated.txt	4	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	2	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	2		
36	IE87234800_00005.xml	4381	734752	Element 18	22	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	22	Siddur_Ashkenaz_clean_concatenated.txt	22	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	12	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	9		
37	IE87580382_00008.xml	4381	734767	Element 33	30	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	5	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	5	MT_NoVoc_concatenated.txt	3				
